measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Lower respiratory infections,Rate,1982,38.349208940643415,39.424428570773834,37.314071392341326
Deaths,Global,Both,All ages,Self-harm,Rate,1980,12.386175783201422,14.38961501162171,10.592804285290221
Deaths,High-income North America,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,53.06070717206288,54.97803650776383,50.99677933729897
Deaths,East Asia,Both,All ages,Chronic kidney disease,Rate,1980,11.812849717491401,15.826100207895161,8.205625068558387
Deaths,Sub-Saharan Africa,Both,All ages,Alzheimer's disease and other dementias,Rate,1981,4.745416717928792,12.667358083552186,1.0938302473555017
Deaths,Oceania,Both,All ages,Diabetes mellitus,Rate,1980,38.81830537831765,48.343154324090456,30.523801256865998
Deaths,Oceania,Both,All ages,Chronic kidney disease,Rate,1980,9.276548151725057,12.010140048592731,6.979857391114329
Deaths,Western Europe,Both,All ages,Diabetes mellitus,Rate,1980,19.94103998930085,20.938420611951493,18.728832547088224
Deaths,Western Europe,Both,All ages,Chronic kidney disease,Rate,1980,13.2432087025069,14.232497791749182,12.239720579022126
Deaths,High-income North America,Both,All ages,Tuberculosis,Rate,1980,1.1496335986039896,1.2761531436755849,1.0368029929519176
Deaths,High-income North America,Both,All ages,HIV/AIDS,Rate,1980,0.9803102971829123,1.0155791911284657,0.9478977837882437
Deaths,High-income North America,Both,All ages,Diarrheal diseases,Rate,1980,0.2809799863824096,0.30931184531332967,0.25256795472444543
Deaths,High-income North America,Both,All ages,Ischemic heart disease,Rate,1980,283.6516592765198,296.1197586764727,263.269824764784
Deaths,High-income North America,Both,All ages,Stroke,Rate,1980,72.62271615336287,77.79364605023152,65.01022487310726
Deaths,High-income North America,Both,All ages,Alzheimer's disease and other dementias,Rate,1981,31.382760562821048,79.09483549755302,7.645668050009406
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Ischemic heart disease,Rate,1982,293.9853816454456,302.4390395087303,282.03843044785674
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Stroke,Rate,1982,188.70986867845832,197.07002046660338,180.74053512027902
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Chronic obstructive pulmonary disease,Rate,1982,34.35442371981385,36.88967867726653,32.3140036220816
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Road injuries,Rate,1982,20.956029362057293,22.862923898285036,18.842890144765782
Deaths,High-income North America,Both,All ages,Alzheimer's disease and other dementias,Rate,1982,31.799073913891267,80.11736665751577,7.753175165179788
Deaths,Western Europe,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,49.17650569967955,50.61075521489755,47.83676836250492
Deaths,Global,Both,All ages,All causes,Rate,1983,983.9283419957582,992.5626176115228,975.1557969050767
Deaths,Global,Both,All ages,Tuberculosis,Rate,1983,40.33014629542851,52.351396278574896,28.997345342601147
Deaths,Global,Both,All ages,HIV/AIDS,Rate,1983,0.7271486735299687,0.9388933764608073,0.5589241365897797
Deaths,Global,Both,All ages,Diarrheal diseases,Rate,1983,80.4171035897306,97.25667078593351,67.47576169912277
Deaths,Global,Both,All ages,Lower respiratory infections,Rate,1983,65.91306959062608,75.21645899882648,57.27376278196062
Deaths,Oceania,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,6.84117628656639,9.45040935983199,4.94240445062188
Deaths,South Asia,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,2.6593017851153555,3.5684753985206075,1.9674527015579337
Deaths,Sub-Saharan Africa,Both,All ages,Self-harm,Rate,1981,8.498651845121959,11.509625996592147,6.023078178385213
Deaths,High-income North America,Both,All ages,Self-harm,Rate,1982,13.486248557422245,14.207775471976637,12.798590096704919
Deaths,High-income North America,Both,All ages,Diabetes mellitus,Rate,1981,15.013810449502273,16.689536305794405,13.461848393863093
Deaths,High-income North America,Both,All ages,Chronic kidney disease,Rate,1981,9.070326416781727,10.09877842805325,8.130571408804235
Deaths,South Asia,Both,All ages,Diarrheal diseases,Rate,1983,201.44027221876752,251.77683649242982,170.29653277093092
Deaths,South Asia,Both,All ages,Lower respiratory infections,Rate,1983,93.40828409820642,110.83323747619323,76.42280849146532
Deaths,High-income North America,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,25.01026275254691,26.40854599655196,23.496829955143465
Deaths,High-income North America,Both,All ages,Road injuries,Rate,1980,24.565264075717092,25.39199502653225,23.739242753370434
Deaths,Western Europe,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,36.42973059471334,37.91728785286029,34.5058631914924
Deaths,Western Europe,Both,All ages,Road injuries,Rate,1980,19.857983795394148,20.58380135622025,19.040104281665243
Deaths,South Asia,Both,All ages,Malaria,Rate,1983,14.833474243323955,31.055716115545984,6.546161923932905
Deaths,South Asia,Both,All ages,Chronic obstructive pulmonary disease,Rate,1983,40.72140808077684,52.0444043566474,27.709570390752027
Deaths,Oceania,Both,All ages,Malaria,Rate,1983,36.512140316083695,90.40735726384798,2.1017378203251953
Deaths,Sub-Saharan Africa,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,3.3536536487943036,4.4290018427111875,2.424061841920792
Deaths,North Africa and Middle East,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,7.768286294737192,10.743542399972583,5.364855778412549
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,30.233135190223965,31.895156580114165,28.78456285548027
Deaths,High-income North America,Both,All ages,All causes,Rate,1982,828.6309510849973,829.4212479697599,827.7332449053551
Deaths,High-income North America,Both,All ages,Diabetes mellitus,Rate,1982,14.9469529768406,16.48569371447035,13.410919346620537
Deaths,High-income North America,Both,All ages,Chronic kidney disease,Rate,1982,9.038684846583031,10.082689801042399,8.136377179272767
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Rate,1983,10.648560149518104,27.254704386506084,2.6116922179863806
Deaths,Global,Both,All ages,Diabetes mellitus,Rate,1983,11.400594163037269,13.152618705130001,9.900736405696783
Deaths,North Africa and Middle East,Both,All ages,All causes,Rate,1980,1104.6082819903327,1142.1036493520191,1088.572817785563
Deaths,North Africa and Middle East,Both,All ages,Tuberculosis,Rate,1980,16.350920444776555,26.106184505245373,7.4819655812078025
Deaths,North Africa and Middle East,Both,All ages,HIV/AIDS,Rate,1980,0.0507704014921243,0.061192008336503796,0.041933653507343335
Deaths,North Africa and Middle East,Both,All ages,Diarrheal diseases,Rate,1980,85.08770749551005,112.82935406355871,61.25443646985401
Deaths,Global,Both,All ages,All causes,Rate,1981,1006.9731686613158,1014.9209639939993,998.6575602342332
Deaths,Global,Both,All ages,Tuberculosis,Rate,1981,41.905234768648555,54.14509749747502,30.36850311047038
Deaths,Global,Both,All ages,HIV/AIDS,Rate,1981,0.41597926135329344,0.5358419067986976,0.3432873891234921
Deaths,Global,Both,All ages,Diarrheal diseases,Rate,1981,85.49375333780915,104.67126822851603,71.8951687985622
Deaths,Global,Both,All ages,Lower respiratory infections,Rate,1981,68.88387538623176,80.68828478874805,59.98676059494024
Deaths,Oceania,Both,All ages,Malaria,Rate,1981,33.36845078151427,93.32081882398846,0.7410130786780189
Deaths,North Africa and Middle East,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,7.818116308271905,10.914523957138451,5.369070729313947
Deaths,North Africa and Middle East,Both,All ages,Lower respiratory infections,Rate,1980,114.5894596027543,147.97067011500292,86.23198390683531
Deaths,North Africa and Middle East,Both,All ages,Malaria,Rate,1980,3.105018304764466,8.005801418927012,0.8202790732945574
Deaths,Oceania,Both,All ages,Malaria,Rate,1982,36.632557102241826,93.28087408800563,1.3351641620328885
Deaths,Oceania,Both,All ages,Alzheimer's disease and other dementias,Rate,1980,2.6802737064223305,7.047129378765282,0.6615715357319338
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Malaria,Rate,1980,0.4139068214384925,1.039598519418865,0.014703111613092215
Deaths,South Asia,Both,All ages,Self-harm,Rate,1983,9.26252289658436,11.49466385670097,7.76052595715191
Deaths,North Africa and Middle East,Both,All ages,Chronic kidney disease,Rate,1982,21.878223869586048,29.158622077137885,15.470297715794125
Deaths,Global,Both,All ages,Malaria,Rate,1983,14.909108540416206,27.822216408443598,7.4522642237633345
Deaths,Global,Both,All ages,Chronic obstructive pulmonary disease,Rate,1983,32.78658019289386,38.07274924184011,25.59690813232476
Deaths,East Asia,Both,All ages,All causes,Rate,1980,849.6925140317454,878.8073528486963,821.7147278642485
Deaths,East Asia,Both,All ages,Tuberculosis,Rate,1980,23.001117173019683,32.57218102829975,13.77863349151041
Deaths,East Asia,Both,All ages,HIV/AIDS,Rate,1980,0.0005326901419384829,0.0006790394040754977,0.00037794035228829343
Deaths,Western Europe,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,50.742041162377255,52.06560838142824,49.26455026488974
Deaths,Western Europe,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,49.755119430778834,51.11039163172164,48.28555705589588
Deaths,Oceania,Both,All ages,Alzheimer's disease and other dementias,Rate,1981,2.805006086244757,7.339437091155517,0.7002786641750799
Deaths,High-income North America,Both,All ages,Tuberculosis,Rate,1982,1.034946500023082,1.1564170330875068,0.9207502152844598
Deaths,High-income North America,Both,All ages,HIV/AIDS,Rate,1982,1.049853878241573,1.0798438688446412,1.0193390364049721
Deaths,High-income North America,Both,All ages,Diarrheal diseases,Rate,1982,0.2463423943698442,0.27047787775061033,0.22557274411471395
Deaths,High-income North America,Both,All ages,Ischemic heart disease,Rate,1982,273.9054579781467,287.1253078883536,253.06957871524764
Deaths,High-income North America,Both,All ages,Stroke,Rate,1982,67.4923576675612,72.76048548752816,59.74404424173419
Deaths,North Africa and Middle East,Both,All ages,Chronic kidney disease,Rate,1981,22.182201498387922,29.397808829752268,15.904936009656659
Deaths,South Asia,Both,All ages,Alzheimer's disease and other dementias,Rate,1980,2.5056171274234433,6.603235325752752,0.6248448989899457
Deaths,South Asia,Both,All ages,Diabetes mellitus,Rate,1980,10.424102179763123,14.40868458931392,7.808528464222888
Deaths,South Asia,Both,All ages,Chronic kidney disease,Rate,1980,7.524851487334537,9.322799134738228,5.641585953704647
Deaths,Latin America and Caribbean,Both,All ages,Malaria,Rate,1982,3.8031821376821933,8.54895976515163,1.382997002502258
Deaths,Latin America and Caribbean,Both,All ages,Malaria,Rate,1981,4.142209006532646,9.778966573377717,1.3506636631009323
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Alzheimer's disease and other dementias,Rate,1982,14.258582546994386,37.47488977109992,3.447913775921033
Deaths,Oceania,Both,All ages,Alzheimer's disease and other dementias,Rate,1983,3.0064429707267264,8.013133310255345,0.7454042948855051
Deaths,Oceania,Both,All ages,Alzheimer's disease and other dementias,Rate,1982,2.90119982884017,7.646185251760337,0.7218317128726164
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Self-harm,Rate,1982,23.446460085360638,24.715377337539206,22.1690454583195
Deaths,Western Europe,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,49.43167673712766,50.76040293092797,48.00994981595386
Deaths,South Asia,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,2.6443415526813396,3.5978623716510554,1.988966255794663
Deaths,Global,Both,All ages,Malaria,Rate,1981,14.91008914440938,27.744411931819098,7.402980841368916
Deaths,Global,Both,All ages,Chronic obstructive pulmonary disease,Rate,1981,32.303177247174496,38.55921016637188,25.090236756650704
Deaths,Global,Both,All ages,Self-harm,Rate,1983,12.424493893313551,14.228070432080575,10.860566408114462
Deaths,Oceania,Both,All ages,All causes,Rate,1983,773.4971913566715,791.4632735740863,754.327789178874
Deaths,Oceania,Both,All ages,Tuberculosis,Rate,1983,37.944173663410254,57.20969004632037,24.558963027892744
Deaths,Oceania,Both,All ages,HIV/AIDS,Rate,1983,0.15938978368631768,0.1990096182198515,0.12565458334890076
Deaths,Oceania,Both,All ages,Diarrheal diseases,Rate,1983,42.8063792032023,59.04049376826953,28.281762344932773
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Alzheimer's disease and other dementias,Rate,1980,13.961539024726473,36.68972317939198,3.3675492312722155
Deaths,South Asia,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,2.6464072290496263,3.5746986339483104,1.983631788808391
Deaths,Oceania,Both,All ages,Self-harm,Rate,1980,4.9931413302597845,6.863609333190753,3.497045328790726
Deaths,East Asia,Both,All ages,Malaria,Rate,1980,0.06979076608455792,0.3054099294930848,0.001243170243508464
Deaths,Global,Both,All ages,Self-harm,Rate,1981,12.394853680159096,14.355749745592066,10.613802037014558
Deaths,Sub-Saharan Africa,Both,All ages,Malaria,Rate,1984,129.22332789232246,222.48916660940733,69.30345436064191
Deaths,East Asia,Both,All ages,Diarrheal diseases,Rate,1980,17.874205623054817,23.191004328761466,13.69743333357144
Deaths,East Asia,Both,All ages,Lower respiratory infections,Rate,1980,52.695708457368845,63.917416513460005,44.68953452939134
Deaths,East Asia,Both,All ages,Ischemic heart disease,Rate,1980,58.9838446733284,76.64479061110777,43.67254698193916
Deaths,East Asia,Both,All ages,Stroke,Rate,1980,205.32064818148274,240.924036147473,167.58676854865837
Deaths,Oceania,Both,All ages,Self-harm,Rate,1983,5.006036953837308,6.900977196635684,3.674137376427158
Deaths,Western Europe,Both,All ages,Diabetes mellitus,Rate,1983,20.598390365399784,21.61774608275902,19.3061519209602
Deaths,Western Europe,Both,All ages,Chronic kidney disease,Rate,1983,13.116372902236407,14.144956051123636,12.103342310496108
Deaths,Oceania,Both,All ages,Self-harm,Rate,1981,5.051901935712658,7.024478954553961,3.548978192711451
Deaths,Latin America and Caribbean,Both,All ages,Alzheimer's disease and other dementias,Rate,1981,6.628470495973257,17.209199698166596,1.62732756712867
Deaths,Latin America and Caribbean,Both,All ages,Self-harm,Rate,1981,5.0195743001244875,5.39226540536692,4.635131388362099
Deaths,High-income North America,Both,All ages,Chronic obstructive pulmonary disease,Rate,1982,26.327270066167273,27.423679150353006,24.644759407231966
Deaths,High-income North America,Both,All ages,Road injuries,Rate,1982,21.175189698392742,21.787385606125433,20.66177870598054
Deaths,Latin America and Caribbean,Both,All ages,Alzheimer's disease and other dementias,Rate,1982,6.696650065268444,17.23834765540241,1.6367687835497
Deaths,Latin America and Caribbean,Both,All ages,Self-harm,Rate,1982,4.888077575466619,5.244560988985383,4.525586098065182
Deaths,South Asia,Both,All ages,Alzheimer's disease and other dementias,Rate,1983,2.6747333309488956,7.302792182242421,0.6372050702340493
Deaths,Latin America and Caribbean,Both,All ages,Ischemic heart disease,Rate,1980,64.67276235838496,67.17570998156263,61.99304552198594
Deaths,East Asia,Both,All ages,Malaria,Rate,1983,0.05976726128917008,0.22935116066244934,0.0008129989899577993
Deaths,North Africa and Middle East,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,12.71147478100511,18.351319171527404,6.727784174292308
Deaths,South Asia,Both,All ages,Diabetes mellitus,Rate,1983,10.436376122741605,14.794156328808025,7.751615360515246
Deaths,South Asia,Both,All ages,Chronic kidney disease,Rate,1983,7.3258603431550915,9.279061266466071,5.348513097549219
Deaths,Oceania,Both,All ages,Self-harm,Rate,1982,5.015635938094678,7.024079965312084,3.6580347774853834
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,Self-harm,Rate,1980,23.80402956861986,25.379021104546496,22.35231967624359
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1984,32.37208917382085,34.18224508028887,31.00384468779107
Deaths,East Asia,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1980,20.631252566758725,27.175853758350254,16.89151524410274
Deaths,South Asia,Both,All ages,All causes,Rate,1983,1178.9854593591904,1205.4143425272707,1155.096060462655
Deaths,South Asia,Both,All ages,Tuberculosis,Rate,1983,90.62354153784932,120.3597023641562,63.69760306835782
Deaths,South Asia,Both,All ages,HIV/AIDS,Rate,1983,8.575408160900005e-06,4.8861081871479355e-05,2.3767760295604135e-06
Deaths,East Asia,Both,All ages,All causes,Rate,1983,797.4385866296736,820.6236603853048,771.467783189462
Deaths,East Asia,Both,All ages,Tuberculosis,Rate,1983,20.409972512709142,27.87940222760376,13.617319156454617
Deaths,East Asia,Both,All ages,HIV/AIDS,Rate,1983,0.0045162384930968556,0.01301764705976353,0.000463851231067625
Deaths,Latin America and Caribbean,Both,All ages,Road injuries,Rate,1980,28.61331415522451,30.592010753487227,26.405712088909603
Deaths,South Asia,Both,All ages,Ischemic heart disease,Rate,1983,57.977218671839054,74.9311777171603,44.23749271110712
Deaths,South Asia,Both,All ages,Stroke,Rate,1983,46.499376837353395,58.064794403652485,35.28702074364421
Deaths,Sub-Saharan Africa,Both,All ages,Malaria,Rate,1983,129.5597522171488,223.75089620271893,70.30441825059575
Deaths,East Asia,Both,All ages,Alzheimer's disease and other dementias,Rate,1980,7.5416748163155845,21.824614905628337,1.7736599596158253
Deaths,East Asia,Both,All ages,All causes,Rate,1981,829.2034527720243,857.8169699349138,802.3031751104127
Deaths,East Asia,Both,All ages,Tuberculosis,Rate,1981,22.072905323849785,31.271680532723014,13.646303767748591
Deaths,East Asia,Both,All ages,HIV/AIDS,Rate,1981,0.0005268751780480365,0.0006688347212793149,0.000383980750710992
Deaths,High-income North America,Both,All ages,Alzheimer's disease and other dementias,Rate,1984,33.75856805849528,85.17353832089984,8.161255842502174
Deaths,East Asia,Both,All ages,Self-harm,Rate,1980,18.067842452641106,25.797215422225637,12.120402797115174
Deaths,Global,Both,All ages,All causes,Rate,1982,990.9296511256648,1000.0355861004842,982.3644322913779
Deaths,Global,Both,All ages,Tuberculosis,Rate,1982,41.020212737166226,52.8513490768591,29.84168403462441
Deaths,Global,Both,All ages,HIV/AIDS,Rate,1982,0.5412772332474389,0.7251719006486057,0.4258170173324248
Deaths,Global,Both,All ages,Diarrheal diseases,Rate,1982,82.76626237874682,100.0319336447397,70.30063634236247
Deaths,Global,Both,All ages,Lower respiratory infections,Rate,1982,66.92825563544054,76.3175569652881,58.213864138963864
Deaths,Global,Both,All ages,All causes,Rate,1984,973.597749032375,985.3398292350702,964.464855623681
Deaths,Global,Both,All ages,Tuberculosis,Rate,1984,39.46220503461951,50.95602172895137,28.56487501342728
Deaths,Global,Both,All ages,HIV/AIDS,Rate,1984,1.007649427220492,1.2541653245931885,0.7906018185864724
Deaths,Global,Both,All ages,Diarrheal diseases,Rate,1984,78.42310242324568,94.47680390601629,66.13684519922528
Deaths,Global,Both,All ages,Lower respiratory infections,Rate,1984,64.49752086864999,74.09708544319209,56.318075020421574
Deaths,East Asia,Both,All ages,Chronic obstructive pulmonary disease,Rate,1980,51.73913632361226,72.47756801370122,32.50837065065417
Deaths,East Asia,Both,All ages,Road injuries,Rate,1980,30.28255207528446,43.29634369508337,15.821428660812686
Deaths,North Africa and Middle East,Both,All ages,Self-harm,Rate,1980,2.9998511357139876,4.470624549872509,1.7676321382141353
Deaths,Global,Both,All ages,Ischemic heart disease,Rate,1983,108.44261212693478,117.11329977061504,100.15556557062928
Deaths,Global,Both,All ages,Stroke,Rate,1983,114.45662795439148,125.61347685154395,102.41760231223017
Deaths,"Central Europe, Eastern Europe, and Central Asia",Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1985,34.926195221931344,36.79425280242863,33.35762291588613
Deaths,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1983,18.294842695291926,20.31869778638975,17.186647035407713
Deaths,Oceania,Both,All ages,Diabetes mellitus,Rate,1983,40.71895609874696,51.24675831139824,31.225477310288394
Deaths,Oceania,Both,All ages,Chronic kidney disease,Rate,1983,9.063026370165183,11.898744717766103,6.673587419215154
Deaths,Global,Both,All ages,Road injuries,Rate,1983,22.455615172614273,27.639935127343207,17.0639177810402
Deaths,Sub-Saharan Africa,Both,All ages,Alzheimer's disease and other dementias,Rate,1984,4.797842153429048,12.845381011743976,1.0998422280723965
Deaths,Sub-Saharan Africa,Both,All ages,Alzheimer's disease and other dementias,Rate,1983,4.77480765280103,12.750980209175825,1.0956601487438011
Deaths,High-income North America,Both,All ages,Diabetes mellitus,Rate,1984,15.421575295399096,16.99121564997288,13.856286292240766
Deaths,High-income North America,Both,All ages,Chronic kidney disease,Rate,1984,9.304909367079144,10.313534241067913,8.387597088057415
Deaths,East Asia,Both,All ages,Diarrheal diseases,Rate,1983,14.09130892221967,18.327042728909014,11.069097065475619
